"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
2,87,157,152,134,123,134,107,106,125,112,52,34,79,32,51
1,36,32,37,22,29,26,25,23,30,18,12,18,28,6,16
